symbol,entry_time,exit_time,direction,lots,per_lot_risk,risk_pct_used,scaled_pnl,equity_after_entry,exit_reason,skipped
LC,2025-10-16 13:40:00,2025-10-16 13:45:00,long,5,160.0,0.756,-874.0,105866.24,stop_loss,False
PS,2025-10-17 09:10:00,2025-10-17 09:15:00,short,1,720.0,0.686,-751.2,104992.24,stop_loss,False
LC,2025-10-17 13:40:00,2025-10-17 13:55:00,long,5,180.0,0.863,1423.65,104241.04,take_profit,False
PS,2025-10-20 09:10:00,2025-10-20 09:55:00,short,1,780.0,0.738,-810.83,105664.69,stop_loss,False
LC,2025-10-20 13:40:00,2025-10-20 13:45:00,short,5,80.0,0.381,-475.7,104853.86,stop_loss,False
PS,2025-10-20 13:40:00,2025-10-20 13:45:00,short,0,615.0,0.0,-0.0,104853.86,stop_loss,True
LC,2025-10-21 09:10:00,2025-10-21 09:15:00,long,4,260.0,0.996,-1100.92,104378.16,stop_loss,False
PS,2025-10-21 09:10:00,2025-10-21 09:55:00,long,0,420.0,0.0,0.0,104378.16,take_profit,True
LC,2025-10-22 09:10:00,2025-10-22 09:20:00,long,3,280.0,0.813,1453.92,103277.24,take_profit,False
PS,2025-10-22 09:10:00,2025-10-22 09:20:00,long,1,360.0,0.349,-390.21,103277.24,stop_loss,False
PS,2025-10-22 13:40:00,2025-10-22 13:55:00,short,2,480.0,0.92,1769.92,104340.95,take_profit,False
LC,2025-10-23 09:10:00,2025-10-23 10:10:00,long,3,340.0,0.961,1813.2,106110.87,take_profit,False
PS,2025-10-24 13:40:00,2025-10-24 13:45:00,long,2,240.0,0.445,-543.16,107924.07,stop_loss,False
LC,2025-10-27 09:10:00,2025-10-27 09:30:00,long,3,300.0,0.838,1571.73,107380.91,take_profit,False
PS,2025-10-28 09:10:00,2025-10-28 09:30:00,long,1,765.0,0.702,-797.83,108952.64,stop_loss,False
PS,2025-10-28 13:40:00,2025-10-28 13:50:00,short,2,330.0,0.61,-725.22,108154.81,stop_loss,False
PS,2025-10-29 09:10:00,2025-10-29 09:15:00,short,2,300.0,0.559,-665.32,107429.59,stop_loss,False
LC,2025-10-30 09:10:00,2025-10-30 11:25:00,long,1,720.0,0.674,1363.15,106764.27,take_profit,False
PS,2025-10-31 09:10:00,2025-10-31 09:15:00,long,2,420.0,0.777,-907.02,108127.42,stop_loss,False
PS,2025-10-31 13:40:00,2025-10-31 14:05:00,short,1,735.0,0.686,-768.5,107220.4,stop_loss,False
