symbol,trading_date,session_kind,direction,entry_time,entry_price,stop_price,exit_time,exit_price,exit_reason,multiplier,per_lot_risk,pnl,return_pct
LC,2025-12-17,日盘,short,2025-12-17 13:40:00,107680.0,108320.0,2025-12-17 14:15:00,108320.0,stop_loss,1,640.0,-661.6,-0.6616
LC,2025-12-18,日盘,long,2025-12-18 09:10:00,107560.0,107160.0,2025-12-18 09:20:00,107160.0,stop_loss,1,400.0,-421.47,-0.4215
PS,2025-12-18,日盘,long,2025-12-18 09:10:00,61390.0,61180.0,2025-12-18 09:15:00,61795.0,take_profit,3,630.0,1178.04,1.178
LC,2025-12-18,日盘,short,2025-12-18 13:40:00,106240.0,107800.0,2025-12-18 14:55:00,106160.0,forced_close,1,1560.0,58.76,0.0588
PS,2025-12-18,日盘,short,2025-12-18 13:40:00,59905.0,60450.0,2025-12-18 14:55:00,59300.0,forced_close,3,1635.0,1779.24,1.7792
LC,2025-12-19,日盘,long,2025-12-19 09:10:00,107380.0,107000.0,2025-12-19 09:15:00,107000.0,stop_loss,1,380.0,-401.44,-0.4014
PS,2025-12-19,日盘,long,2025-12-19 09:10:00,59685.0,59645.0,2025-12-19 09:15:00,59645.0,stop_loss,3,120.0,-155.8,-0.1558
LC,2025-12-19,日盘,long,2025-12-19 13:40:00,112320.0,111560.0,2025-12-19 13:50:00,111560.0,stop_loss,1,760.0,-782.39,-0.7824
PS,2025-12-19,日盘,long,2025-12-19 13:40:00,60990.0,60790.0,2025-12-19 13:45:00,60790.0,stop_loss,3,600.0,-636.53,-0.6365
PS,2025-12-22,日盘,long,2025-12-22 09:10:00,60180.0,60020.0,2025-12-22 09:35:00,60485.0,take_profit,3,480.0,878.8,0.8788
PS,2025-12-22,日盘,short,2025-12-22 13:40:00,59710.0,60070.0,2025-12-22 14:15:00,59005.0,take_profit,3,1080.0,2079.39,2.0794
LC,2025-12-23,日盘,short,2025-12-23 09:10:00,115580.0,116980.0,2025-12-23 09:35:00,116980.0,stop_loss,1,1400.0,-1423.26,-1.4233
PS,2025-12-23,日盘,short,2025-12-23 13:40:00,59070.0,59210.0,2025-12-23 13:50:00,59210.0,stop_loss,3,420.0,-455.48,-0.4555
LC,2025-12-24,日盘,long,2025-12-24 09:10:00,122020.0,120940.0,2025-12-24 09:50:00,124120.0,take_profit,1,1080.0,2075.39,2.0754
PS,2025-12-24,日盘,long,2025-12-24 09:10:00,58035.0,57450.0,2025-12-24 09:30:00,57450.0,stop_loss,3,1755.0,-1789.65,-1.7896
PS,2025-12-24,日盘,long,2025-12-24 13:40:00,58520.0,58345.0,2025-12-24 13:45:00,58345.0,stop_loss,3,525.0,-560.06,-0.5601
LC,2025-12-25,日盘,long,2025-12-25 13:40:00,121640.0,120800.0,2025-12-25 14:05:00,123260.0,take_profit,1,840.0,1595.51,1.5955
PS,2025-12-25,日盘,long,2025-12-25 13:40:00,59965.0,59855.0,2025-12-25 13:45:00,59855.0,stop_loss,3,330.0,-365.95,-0.3659
LC,2025-12-26,日盘,long,2025-12-26 13:40:00,129280.0,129160.0,2025-12-26 13:45:00,129460.0,take_profit,1,120.0,154.13,0.1541
